Channel, Energy (keV), Counts
1, 0.43199265003204346, 0
2, 0.8639853000640869, 0
3, 1.2959779500961304, 0
4, 1.7279706001281738, 0
5, 2.1599632501602173, 0
6, 2.5919559001922607, 0
7, 3.023948550224304, 1
8, 3.4559412002563477, 50
9, 3.887933850288391, 102
10, 4.319926500320435, 78
11, 4.751919150352478, 106
12, 5.1839118003845215, 99
13, 5.615904450416565, 107
14, 6.047897100448608, 79
15, 6.479889750480652, 112
16, 6.911882400512695, 98
17, 7.343875050544739, 93
18, 7.775867700576782, 92
19, 8.207860350608826, 87
20, 8.63985300064087, 75
21, 9.071845650672913, 88
22, 9.503838300704956, 71
23, 9.935830950737, 82
24, 10.367823600769043, 85
25, 10.799816250801086, 82
26, 11.23180890083313, 85
27, 11.663801550865173, 104
28, 12.095794200897217, 86
29, 12.52778685092926, 99
30, 12.959779500961304, 110
31, 13.391772150993347, 98
32, 13.82376480102539, 87
33, 14.255757451057434, 97
34, 14.687750101089478, 83
35, 15.119742751121521, 88
36, 15.551735401153564, 108
37, 15.983728051185608, 88
38, 16.41572070121765, 85
39, 16.847713351249695, 98
40, 17.27970600128174, 96
41, 17.71169865131378, 93
42, 18.143691301345825, 90
43, 18.57568395137787, 90
44, 19.007676601409912, 89
45, 19.439669251441956, 104
46, 19.871661901474, 80
47, 20.303654551506042, 91
48, 20.735647201538086, 81
49, 21.16763985157013, 85
50, 21.599632501602173, 107
51, 22.031625151634216, 107
52, 22.46361780166626, 102
53, 22.895610451698303, 98
54, 23.327603101730347, 105
55, 23.75959575176239, 96
56, 24.191588401794434, 89
57, 24.623581051826477, 94
58, 25.05557370185852, 91
59, 25.487566351890564, 84
60, 25.919559001922607, 97
61, 26.35155165195465, 108
62, 26.783544301986694, 106
63, 27.215536952018738, 108
64, 27.64752960205078, 102
65, 28.079522252082825, 100
66, 28.511514902114868, 96
67, 28.94350755214691, 105
68, 29.375500202178955, 106
69, 29.807492852211, 94
70, 30.239485502243042, 128
71, 30.671478152275085, 104
72, 31.10347080230713, 102
73, 31.535463452339172, 138
74, 31.967456102371216, 101
75, 32.39944875240326, 103
76, 32.8314414024353, 104
77, 33.263434052467346, 120
78, 33.69542670249939, 91
79, 34.12741935253143, 128
80, 34.55941200256348, 109
81, 34.99140465259552, 94
82, 35.42339730262756, 99
83, 35.85538995265961, 100
84, 36.28738260269165, 114
85, 36.719375252723694, 112
86, 37.15136790275574, 95
87, 37.58336055278778, 116
88, 38.015353202819824, 92
89, 38.44734585285187, 86
90, 38.87933850288391, 96
91, 39.311331152915955, 90
92, 39.743323802948, 104
93, 40.17531645298004, 119
94, 40.607309103012085, 129
95, 41.03930175304413, 107
96, 41.47129440307617, 125
97, 41.903287053108215, 115
98, 42.33527970314026, 105
99, 42.7672723531723, 122
100, 43.199265003204346, 117
101, 43.63125765323639, 95
102, 44.06325030326843, 114
103, 44.495242953300476, 100
104, 44.92723560333252, 117
105, 45.35922825336456, 112
106, 45.791220903396606, 116
107, 46.22321355342865, 132
108, 46.65520620346069, 118
109, 47.08719885349274, 134
110, 47.51919150352478, 120
111, 47.951184153556824, 147
112, 48.38317680358887, 144
113, 48.81516945362091, 148
114, 49.247162103652954, 141
115, 49.679154753685, 126
116, 50.11114740371704, 152
117, 50.543140053749084, 132
118, 50.97513270378113, 116
119, 51.40712535381317, 120
120, 51.839118003845215, 123
121, 52.27111065387726, 137
122, 52.7031033039093, 137
123, 53.135095953941345, 119
