Channel, Energy (keV), Counts
1, 0.43199265003204346, 0
2, 0.8639853000640869, 0
3, 1.2959779500961304, 0
4, 1.7279706001281738, 0
5, 2.1599632501602173, 0
6, 2.5919559001922607, 0
7, 3.023948550224304, 0
8, 3.4559412002563477, 0
9, 3.887933850288391, 81
10, 4.319926500320435, 572
11, 4.751919150352478, 827
12, 5.1839118003845215, 805
13, 5.615904450416565, 909
14, 6.047897100448608, 940
15, 6.479889750480652, 907
16, 6.911882400512695, 950
17, 7.343875050544739, 935
18, 7.775867700576782, 940
19, 8.207860350608826, 906
20, 8.63985300064087, 894
21, 9.071845650672913, 1004
22, 9.503838300704956, 887
23, 9.935830950737, 935
24, 10.367823600769043, 961
25, 10.799816250801086, 918
26, 11.23180890083313, 907
27, 11.663801550865173, 1000
28, 12.095794200897217, 945
29, 12.52778685092926, 966
30, 12.959779500961304, 889
31, 13.391772150993347, 917
32, 13.82376480102539, 947
33, 14.255757451057434, 971
34, 14.687750101089478, 997
35, 15.119742751121521, 965
36, 15.551735401153564, 970
37, 15.983728051185608, 975
38, 16.41572070121765, 1007
39, 16.847713351249695, 971
40, 17.27970600128174, 959
41, 17.71169865131378, 971
42, 18.143691301345825, 974
43, 18.57568395137787, 953
44, 19.007676601409912, 994
45, 19.439669251441956, 989
46, 19.871661901474, 977
47, 20.303654551506042, 997
48, 20.735647201538086, 1015
49, 21.16763985157013, 990
50, 21.599632501602173, 932
51, 22.031625151634216, 997
52, 22.46361780166626, 949
53, 22.895610451698303, 985
54, 23.327603101730347, 1052
55, 23.75959575176239, 1017
56, 24.191588401794434, 982
57, 24.623581051826477, 1049
58, 25.05557370185852, 988
59, 25.487566351890564, 1029
60, 25.919559001922607, 1054
61, 26.35155165195465, 985
62, 26.783544301986694, 1120
63, 27.215536952018738, 1033
64, 27.64752960205078, 1048
65, 28.079522252082825, 1029
66, 28.511514902114868, 1035
67, 28.94350755214691, 1055
68, 29.375500202178955, 1066
69, 29.807492852211, 993
70, 30.239485502243042, 1044
71, 30.671478152275085, 1038
72, 31.10347080230713, 1039
73, 31.535463452339172, 1048
74, 31.967456102371216, 1086
75, 32.39944875240326, 1071
76, 32.8314414024353, 1081
77, 33.263434052467346, 1133
78, 33.69542670249939, 1097
79, 34.12741935253143, 1025
80, 34.55941200256348, 1092
81, 34.99140465259552, 1019
82, 35.42339730262756, 1052
83, 35.85538995265961, 1026
84, 36.28738260269165, 1046
85, 36.719375252723694, 1179
86, 37.15136790275574, 1084
87, 37.58336055278778, 1101
88, 38.015353202819824, 1046
89, 38.44734585285187, 1115
90, 38.87933850288391, 1102
91, 39.311331152915955, 1100
92, 39.743323802948, 1163
93, 40.17531645298004, 1105
94, 40.607309103012085, 1088
95, 41.03930175304413, 1151
96, 41.47129440307617, 1173
97, 41.903287053108215, 1085
98, 42.33527970314026, 1105
99, 42.7672723531723, 1149
100, 43.199265003204346, 1211
101, 43.63125765323639, 1137
102, 44.06325030326843, 1140
103, 44.495242953300476, 1137
104, 44.92723560333252, 1169
105, 45.35922825336456, 1142
106, 45.791220903396606, 1190
107, 46.22321355342865, 1228
108, 46.65520620346069, 1225
109, 47.08719885349274, 1206
110, 47.51919150352478, 1230
111, 47.951184153556824, 1263
112, 48.38317680358887, 1259
113, 48.81516945362091, 1273
114, 49.247162103652954, 1255
115, 49.679154753685, 1253
116, 50.11114740371704, 1273
117, 50.543140053749084, 1281
118, 50.97513270378113, 1293
