Channel, Energy (keV), Counts
1, 0.43199265003204346, 0
2, 0.8639853000640869, 1
3, 1.2959779500961304, 0
4, 1.7279706001281738, 0
5, 2.1599632501602173, 0
6, 2.5919559001922607, 0
7, 3.023948550224304, 0
8, 3.4559412002563477, 0
9, 3.887933850288391, 6
10, 4.319926500320435, 187
11, 4.751919150352478, 919
12, 5.1839118003845215, 1205
13, 5.615904450416565, 1249
14, 6.047897100448608, 1345
15, 6.479889750480652, 1256
16, 6.911882400512695, 1299
17, 7.343875050544739, 1370
18, 7.775867700576782, 1296
19, 8.207860350608826, 1321
20, 8.63985300064087, 1372
21, 9.071845650672913, 1375
22, 9.503838300704956, 1343
23, 9.935830950737, 1353
24, 10.367823600769043, 1414
25, 10.799816250801086, 1353
26, 11.23180890083313, 1361
27, 11.663801550865173, 1370
28, 12.095794200897217, 1371
29, 12.52778685092926, 1293
30, 12.959779500961304, 1389
31, 13.391772150993347, 1376
32, 13.82376480102539, 1423
33, 14.255757451057434, 1370
34, 14.687750101089478, 1421
35, 15.119742751121521, 1440
36, 15.551735401153564, 1440
37, 15.983728051185608, 1437
38, 16.41572070121765, 1479
39, 16.847713351249695, 1386
40, 17.27970600128174, 1366
41, 17.71169865131378, 1395
42, 18.143691301345825, 1484
43, 18.57568395137787, 1388
44, 19.007676601409912, 1380
45, 19.439669251441956, 1404
46, 19.871661901474, 1409
47, 20.303654551506042, 1455
48, 20.735647201538086, 1446
49, 21.16763985157013, 1439
50, 21.599632501602173, 1450
51, 22.031625151634216, 1429
52, 22.46361780166626, 1441
53, 22.895610451698303, 1542
54, 23.327603101730347, 1435
55, 23.75959575176239, 1494
56, 24.191588401794434, 1500
57, 24.623581051826477, 1493
58, 25.05557370185852, 1415
59, 25.487566351890564, 1487
60, 25.919559001922607, 1482
61, 26.35155165195465, 1493
62, 26.783544301986694, 1517
63, 27.215536952018738, 1442
64, 27.64752960205078, 1455
65, 28.079522252082825, 1439
66, 28.511514902114868, 1468
67, 28.94350755214691, 1482
68, 29.375500202178955, 1496
69, 29.807492852211, 1476
70, 30.239485502243042, 1474
71, 30.671478152275085, 1549
72, 31.10347080230713, 1452
73, 31.535463452339172, 1482
74, 31.967456102371216, 1549
75, 32.39944875240326, 1480
76, 32.8314414024353, 1457
77, 33.263434052467346, 1563
78, 33.69542670249939, 1466
79, 34.12741935253143, 1563
80, 34.55941200256348, 1568
81, 34.99140465259552, 1538
82, 35.42339730262756, 1545
83, 35.85538995265961, 1606
84, 36.28738260269165, 1548
85, 36.719375252723694, 1528
86, 37.15136790275574, 1499
87, 37.58336055278778, 1606
88, 38.015353202819824, 1618
89, 38.44734585285187, 1585
90, 38.87933850288391, 1562
91, 39.311331152915955, 1564
92, 39.743323802948, 1552
93, 40.17531645298004, 1510
94, 40.607309103012085, 1651
95, 41.03930175304413, 1611
96, 41.47129440307617, 1591
97, 41.903287053108215, 1542
98, 42.33527970314026, 1576
99, 42.7672723531723, 1620
100, 43.199265003204346, 1626
101, 43.63125765323639, 1585
102, 44.06325030326843, 1641
103, 44.495242953300476, 1643
104, 44.92723560333252, 1693
105, 45.35922825336456, 1583
106, 45.791220903396606, 1593
107, 46.22321355342865, 1689
108, 46.65520620346069, 1639
109, 47.08719885349274, 1726
110, 47.51919150352478, 1764
111, 47.951184153556824, 1721
112, 48.38317680358887, 1639
113, 48.81516945362091, 1677
114, 49.247162103652954, 1677
115, 49.679154753685, 1811
116, 50.11114740371704, 1711
117, 50.543140053749084, 1757
118, 50.97513270378113, 1629
119, 51.40712535381317, 1775
120, 51.839118003845215, 1738
121, 52.27111065387726, 1747
122, 52.7031033039093, 1736
123, 53.135095953941345, 1756
124, 53.56708860397339, 1719
125, 53.99908125400543, 1742
126, 54.431073904037476, 1698
127, 54.86306655406952, 1701
128, 55.29505920410156, 1648
129, 55.727051854133606, 1608
130, 56.15904450416565, 1752
131, 56.59103715419769, 1701
132, 57.023029804229736, 1718
133, 57.45502245426178, 1642
134, 57.88701510429382, 1638
135, 58.31900775432587, 1674
136, 58.75100040435791, 1669
137, 59.182993054389954, 1742
138, 59.614985704422, 1643
139, 60.04697835445404, 1617
140, 60.478971004486084, 1662
141, 60.91096365451813, 1721
142, 61.34295630455017, 1694
143, 61.774948954582214, 1686
144, 62.20694160461426, 1617
145, 62.6389342546463, 1650
146, 63.070926904678345, 1682
147, 63.50291955471039, 1689
148, 63.93491220474243, 1672
149, 64.36690485477448, 1720
150, 64.79889750480652, 1633
151, 65.23089015483856, 1682
152, 65.6628828048706, 1699
153, 66.09487545490265, 1758
154, 66.52686810493469, 1733
155, 66.95886075496674, 1635
156, 67.39085340499878, 1757
157, 67.82284605503082, 1702
158, 68.25483870506287, 1714
159, 68.68683135509491, 1761
160, 69.11882400512695, 1700
161, 69.550816655159, 1814
162, 69.98280930519104, 1662
163, 70.41480195522308, 1636
164, 70.84679460525513, 1747
165, 71.27878725528717, 1719
166, 71.71077990531921, 1793
167, 72.14277255535126, 1814
168, 72.5747652053833, 1735
169, 73.00675785541534, 1791
170, 73.43875050544739, 1788
171, 73.87074315547943, 1864
172, 74.30273580551147, 1867
173, 74.73472845554352, 1889
174, 75.16672110557556, 1889
175, 75.5987137556076, 1964
176, 76.03070640563965, 1980
177, 76.46269905567169, 1881
