Channel, Energy (keV), Counts
1, 0.43199265003204346, 0
2, 0.8639853000640869, 0
3, 1.2959779500961304, 0
4, 1.7279706001281738, 0
5, 2.1599632501602173, 0
6, 2.5919559001922607, 0
7, 3.023948550224304, 0
8, 3.4559412002563477, 49
9, 3.887933850288391, 212
10, 4.319926500320435, 269
11, 4.751919150352478, 267
12, 5.1839118003845215, 255
13, 5.615904450416565, 277
14, 6.047897100448608, 281
15, 6.479889750480652, 309
16, 6.911882400512695, 269
17, 7.343875050544739, 271
18, 7.775867700576782, 265
19, 8.207860350608826, 308
20, 8.63985300064087, 283
21, 9.071845650672913, 278
22, 9.503838300704956, 227
23, 9.935830950737, 273
24, 10.367823600769043, 302
25, 10.799816250801086, 277
26, 11.23180890083313, 283
27, 11.663801550865173, 308
28, 12.095794200897217, 284
29, 12.52778685092926, 308
30, 12.959779500961304, 283
31, 13.391772150993347, 291
32, 13.82376480102539, 280
33, 14.255757451057434, 265
34, 14.687750101089478, 314
35, 15.119742751121521, 290
36, 15.551735401153564, 320
37, 15.983728051185608, 292
38, 16.41572070121765, 287
39, 16.847713351249695, 300
40, 17.27970600128174, 303
41, 17.71169865131378, 295
42, 18.143691301345825, 278
43, 18.57568395137787, 309
44, 19.007676601409912, 312
45, 19.439669251441956, 309
46, 19.871661901474, 310
47, 20.303654551506042, 304
48, 20.735647201538086, 292
49, 21.16763985157013, 280
50, 21.599632501602173, 279
51, 22.031625151634216, 292
52, 22.46361780166626, 271
53, 22.895610451698303, 292
54, 23.327603101730347, 304
55, 23.75959575176239, 321
56, 24.191588401794434, 305
57, 24.623581051826477, 296
58, 25.05557370185852, 302
59, 25.487566351890564, 304
60, 25.919559001922607, 286
61, 26.35155165195465, 283
62, 26.783544301986694, 346
63, 27.215536952018738, 324
64, 27.64752960205078, 320
65, 28.079522252082825, 289
66, 28.511514902114868, 317
67, 28.94350755214691, 282
68, 29.375500202178955, 302
69, 29.807492852211, 288
70, 30.239485502243042, 286
71, 30.671478152275085, 318
72, 31.10347080230713, 303
73, 31.535463452339172, 314
74, 31.967456102371216, 329
75, 32.39944875240326, 317
76, 32.8314414024353, 334
77, 33.263434052467346, 284
78, 33.69542670249939, 329
79, 34.12741935253143, 317
80, 34.55941200256348, 295
81, 34.99140465259552, 328
82, 35.42339730262756, 319
83, 35.85538995265961, 291
84, 36.28738260269165, 301
85, 36.719375252723694, 288
86, 37.15136790275574, 301
87, 37.58336055278778, 323
88, 38.015353202819824, 334
89, 38.44734585285187, 339
90, 38.87933850288391, 317
91, 39.311331152915955, 337
92, 39.743323802948, 327
93, 40.17531645298004, 307
94, 40.607309103012085, 348
95, 41.03930175304413, 341
96, 41.47129440307617, 348
97, 41.903287053108215, 372
98, 42.33527970314026, 340
99, 42.7672723531723, 304
100, 43.199265003204346, 363
101, 43.63125765323639, 353
102, 44.06325030326843, 330
103, 44.495242953300476, 342
104, 44.92723560333252, 345
105, 45.35922825336456, 348
106, 45.791220903396606, 374
107, 46.22321355342865, 357
108, 46.65520620346069, 374
109, 47.08719885349274, 342
110, 47.51919150352478, 382
111, 47.951184153556824, 358
112, 48.38317680358887, 366
113, 48.81516945362091, 361
114, 49.247162103652954, 380
115, 49.679154753685, 384
116, 50.11114740371704, 387
117, 50.543140053749084, 395
118, 50.97513270378113, 410
119, 51.40712535381317, 365
120, 51.839118003845215, 359
121, 52.27111065387726, 368
122, 52.7031033039093, 353
123, 53.135095953941345, 353
