260251.000,10135.000,8533.000,20.000,17.000,0.000,0.000
263531.000,10215.000,8621.000,15.000,15.000,0.000,0.000
259862.000,10040.000,8575.000,21.000,20.000,0.000,0.000
259533.000,10157.000,8351.000,19.000,10.000,0.000,0.000
260763.000,10316.000,8448.000,18.000,13.000,0.000,0.000
259751.000,10228.000,8345.000,24.000,22.000,0.000,0.000
259852.000,10244.000,8271.000,15.000,21.000,0.000,0.000
260054.000,10323.000,8051.000,30.000,15.000,0.000,0.000
259572.000,10479.000,7939.000,17.000,25.000,0.000,0.000
261043.000,10626.000,8077.000,21.000,14.000,0.000,0.000
258707.000,10365.000,8091.000,18.000,19.000,0.000,0.000
258639.000,10515.000,7973.000,36.000,21.000,0.000,0.000
260422.000,10466.000,7992.000,16.000,17.000,0.000,0.000
259239.000,10519.000,7826.000,19.000,12.000,0.000,0.000
259148.000,10650.000,7816.000,15.000,10.000,0.000,0.000
257751.000,10668.000,7696.000,23.000,14.000,0.000,0.000
259259.000,10702.000,7685.000,25.000,21.000,0.000,0.000
258350.000,10686.000,7591.000,25.000,23.000,0.000,0.000
257866.000,10756.000,7616.000,18.000,17.000,0.000,0.000
258198.000,10789.000,7491.000,24.000,17.000,0.000,0.000
263858.000,11027.000,7793.000,26.000,23.000,0.000,0.000
263394.000,10880.000,7610.000,26.000,14.000,0.000,0.000
260842.000,11045.000,7589.000,28.000,12.000,0.000,0.000
262243.000,10917.000,7560.000,26.000,11.000,0.000,0.000
261665.000,11025.000,7462.000,25.000,13.000,0.000,0.000
260942.000,11230.000,7309.000,27.000,18.000,0.000,0.000
260526.000,11077.000,7372.000,25.000,15.000,0.000,0.000
261592.000,11372.000,7465.000,25.000,19.000,0.000,0.000
262920.000,11451.000,7338.000,31.000,16.000,0.000,0.000
262371.000,11324.000,7397.000,32.000,17.000,0.000,0.000
263576.000,11315.000,7298.000,31.000,13.000,0.000,0.000
264786.000,11513.000,7333.000,28.000,25.000,0.000,0.000
264722.000,11321.000,7287.000,30.000,21.000,0.000,0.000
261525.000,11193.000,7175.000,23.000,14.000,0.000,0.000
263793.000,11534.000,7204.000,22.000,8.000,0.000,0.000
264502.000,11418.000,7310.000,26.000,19.000,0.000,0.000
263210.000,11473.000,7202.000,36.000,23.000,0.000,0.000
263542.000,11505.000,7063.000,31.000,16.000,0.000,0.000
264780.000,11566.000,7170.000,26.000,13.000,1.000,783.373
262511.000,11577.000,7013.000,24.000,17.000,0.000,0.000
263097.000,11714.000,7068.000,28.000,7.000,0.000,0.000
