N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 09:55:04.376,0.663,-0.216
2,31.10.2023 09:55:04.3765,0.674,-0.124
3,31.10.2023 09:55:04.377,0.688,-0.031
4,31.10.2023 09:55:04.3775,0.698,-0.036
5,31.10.2023 09:55:04.378,0.708,-0.04
6,31.10.2023 09:55:04.3785,0.722,-0.104
7,31.10.2023 09:55:04.379,0.732,-0.12
8,31.10.2023 09:55:04.3795,0.75,-0.088
9,31.10.2023 09:55:04.38,0.758,-0.104
10,31.10.2023 09:55:04.3805,0.773,-0.105
11,31.10.2023 09:55:04.381,0.783,-0.108
12,31.10.2023 09:55:04.3815,0.799,-0.086
13,31.10.2023 09:55:04.382,0.808,-0.104
14,31.10.2023 09:55:04.3825,0.821,-0.023
15,31.10.2023 09:55:04.383,0.83,0.065
16,31.10.2023 09:55:04.3835,0.845,0.152
17,31.10.2023 09:55:04.384,0.856,0.079
18,31.10.2023 09:55:04.3845,0.869,0.087
19,31.10.2023 09:55:04.385,0.88,0.053
20,31.10.2023 09:55:04.3855,0.892,0.022
21,31.10.2023 09:55:04.386,0.906,-0.018
22,31.10.2023 09:55:04.3865,0.917,5.00E-03
23,31.10.2023 09:55:04.387,0.931,0.048
24,31.10.2023 09:55:04.3875,0.941,0.038
25,31.10.2023 09:55:04.388,0.952,0.05
26,31.10.2023 09:55:04.3885,0.966,-0.029
27,31.10.2023 09:55:04.389,0.977,-0.095
28,31.10.2023 09:55:04.3895,7.00E-03,-0.645
29,31.10.2023 09:55:04.39,6.00E-03,-0.639
30,31.10.2023 09:55:04.3905,7.00E-03,-0.644
31,31.10.2023 09:55:04.391,6.00E-03,-0.635
32,31.10.2023 09:55:04.3915,7.00E-03,-0.644
33,31.10.2023 09:55:04.392,7.00E-03,-0.64
34,31.10.2023 09:55:04.3925,8.00E-03,-0.645
35,31.10.2023 09:55:04.393,7.00E-03,-0.641
36,31.10.2023 09:55:04.3935,5.00E-03,-0.642
37,31.10.2023 09:55:04.394,6.00E-03,-0.641
38,31.10.2023 09:55:04.3945,3.00E-03,-0.642
39,31.10.2023 09:55:04.395,8.00E-03,-0.641
40,31.10.2023 09:55:04.3955,5.00E-03,-0.642
41,31.10.2023 09:55:04.396,0.011,-0.642
42,31.10.2023 09:55:04.3965,5.00E-03,-0.642
43,31.10.2023 09:55:04.397,0.011,-0.642
44,31.10.2023 09:55:04.3975,6.00E-03,-0.641
45,31.10.2023 09:55:04.398,7.00E-03,-0.64
46,31.10.2023 09:55:04.3985,6.00E-03,-0.642
47,31.10.2023 09:55:04.399,8.00E-03,-0.641
48,31.10.2023 09:55:04.3995,6.00E-03,0.084
49,31.10.2023 09:55:04.4,0.019,0.139
50,31.10.2023 09:55:04.4005,0.031,0.164
51,31.10.2023 09:55:04.401,0.043,0.149
52,31.10.2023 09:55:04.4015,0.056,0.129
53,31.10.2023 09:55:04.402,0.068,0.077
54,31.10.2023 09:55:04.4025,0.079,0.19
55,31.10.2023 09:55:04.403,0.092,0.192
56,31.10.2023 09:55:04.4035,0.104,0.207
57,31.10.2023 09:55:04.404,0.117,0.178
58,31.10.2023 09:55:04.4045,0.129,0.203
59,31.10.2023 09:55:04.405,0.14,0.151
60,31.10.2023 09:55:04.4055,0.154,0.123
61,31.10.2023 09:55:04.406,0.165,0.067
62,31.10.2023 09:55:04.4065,0.178,0.078
63,31.10.2023 09:55:04.407,0.19,0.078
64,31.10.2023 09:55:04.4075,0.203,0.129
65,31.10.2023 09:55:04.408,0.214,0.122
66,31.10.2023 09:55:04.4085,0.226,0.077
67,31.10.2023 09:55:04.409,0.236,0.058
68,31.10.2023 09:55:04.4095,0.251,8.00E-03
69,31.10.2023 09:55:04.41,0.26,0.026
70,31.10.2023 09:55:04.4105,0.28,8.00E-03
71,31.10.2023 09:55:04.411,0.286,-2.00E-03
72,31.10.2023 09:55:04.4115,0.305,-0.065
73,31.10.2023 09:55:04.412,0.312,-0.048
74,31.10.2023 09:55:04.4125,0.33,-0.189
75,31.10.2023 09:55:04.413,0.336,0.02
76,31.10.2023 09:55:04.4135,0.351,0.084
77,31.10.2023 09:55:04.414,0.359,0.102
78,31.10.2023 09:55:04.4145,0.374,0.046
79,31.10.2023 09:55:04.415,0.383,0.07
80,31.10.2023 09:55:04.4155,0.396,0.075
81,31.10.2023 09:55:04.416,0.409,0.021
82,31.10.2023 09:55:04.4165,0.42,0.037
83,31.10.2023 09:55:04.417,0.43,0.04
84,31.10.2023 09:55:04.4175,0.447,0.071
85,31.10.2023 09:55:04.418,0.458,0.066
86,31.10.2023 09:55:04.4185,0.47,0.102
87,31.10.2023 09:55:04.419,0.483,0.043
88,31.10.2023 09:55:04.4195,0.494,0.031
89,31.10.2023 09:55:04.42,0.508,0.052
90,31.10.2023 09:55:04.4205,0.518,0.227
91,31.10.2023 09:55:04.421,0.531,0.97
92,31.10.2023 09:55:04.4215,0.542,0.988
93,31.10.2023 09:55:04.422,0.556,-0.127
94,31.10.2023 09:55:04.4225,0.566,-0.344
95,31.10.2023 09:55:04.423,0.58,-0.356
96,31.10.2023 09:55:04.4235,0.591,-0.257
97,31.10.2023 09:55:04.424,0.603,-0.206
98,31.10.2023 09:55:04.4245,0.615,-0.179
99,31.10.2023 09:55:04.425,0.626,-0.223
100,31.10.2023 09:55:04.4255,0.635,-0.23
101,31.10.2023 09:55:04.426,0.654,-0.255
102,31.10.2023 09:55:04.4265,0.662,-0.195
103,31.10.2023 09:55:04.427,0.682,-0.189
104,31.10.2023 09:55:04.4275,0.688,-0.069
105,31.10.2023 09:55:04.428,0.706,-0.074
106,31.10.2023 09:55:04.4285,0.713,-0.074
107,31.10.2023 09:55:04.429,0.727,-0.053
108,31.10.2023 09:55:04.4295,0.737,-0.096
109,31.10.2023 09:55:04.43,0.752,-0.101
110,31.10.2023 09:55:04.4305,0.76,-0.06
111,31.10.2023 09:55:04.431,0.775,-0.038
112,31.10.2023 09:55:04.4315,0.785,-0.084
113,31.10.2023 09:55:04.432,0.799,-0.096
114,31.10.2023 09:55:04.4325,0.81,-0.209
115,31.10.2023 09:55:04.433,0.821,6.00E-03
116,31.10.2023 09:55:04.4335,0.835,0.041
117,31.10.2023 09:55:04.434,0.846,0.073
118,31.10.2023 09:55:04.4345,0.859,0.104
119,31.10.2023 09:55:04.435,0.872,0.075
120,31.10.2023 09:55:04.4355,0.882,0.027
121,31.10.2023 09:55:04.436,0.896,-2.00E-03
122,31.10.2023 09:55:04.4365,0.907,6.00E-03
123,31.10.2023 09:55:04.437,0.921,-0.019
124,31.10.2023 09:55:04.4375,0.931,0.05
125,31.10.2023 09:55:04.438,0.945,0.023
126,31.10.2023 09:55:04.4385,0.956,0.045
127,31.10.2023 09:55:04.439,0.968,0.056
128,31.10.2023 09:55:04.4395,0.979,-3.00E-03
