N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 10:07:44.376,0.46,0.041
2,31.10.2023 10:07:44.3765,0.47,-0.017
3,31.10.2023 10:07:44.377,0.488,-0.028
4,31.10.2023 10:07:44.3775,0.493,-0.056
5,31.10.2023 10:07:44.378,0.505,-0.018
6,31.10.2023 10:07:44.3785,0.516,-0.066
7,31.10.2023 10:07:44.379,0.529,0.062
8,31.10.2023 10:07:44.3795,0.541,0.104
9,31.10.2023 10:07:44.38,0.551,0.121
10,31.10.2023 10:07:44.3805,0.565,0.077
11,31.10.2023 10:07:44.381,0.579,0.041
12,31.10.2023 10:07:44.3815,0.59,-5.00E-03
13,31.10.2023 10:07:44.382,0.603,-0.064
14,31.10.2023 10:07:44.3825,0.616,-0.076
15,31.10.2023 10:07:44.383,0.626,-0.041
16,31.10.2023 10:07:44.3835,0.641,-0.03
17,31.10.2023 10:07:44.384,0.65,8.00E-03
18,31.10.2023 10:07:44.3845,0.663,0.062
19,31.10.2023 10:07:44.385,0.676,0.018
20,31.10.2023 10:07:44.3855,0.696,-8.00E-03
21,31.10.2023 10:07:44.386,0.697,6.00E-03
22,31.10.2023 10:07:44.3865,0.711,-0.034
23,31.10.2023 10:07:44.387,0.72,-0.015
24,31.10.2023 10:07:44.3875,0.735,-0.038
25,31.10.2023 10:07:44.388,0.748,-0.039
26,31.10.2023 10:07:44.3885,0.76,-0.088
27,31.10.2023 10:07:44.389,0.773,0.111
28,31.10.2023 10:07:44.3895,0.785,0.334
29,31.10.2023 10:07:44.39,0.796,0.708
30,31.10.2023 10:07:44.3905,0.809,1.341
31,31.10.2023 10:07:44.391,0.82,0.442
32,31.10.2023 10:07:44.3915,0.831,-0.202
33,31.10.2023 10:07:44.392,0.845,-0.313
34,31.10.2023 10:07:44.3925,0.856,-0.237
35,31.10.2023 10:07:44.393,0.871,-0.378
36,31.10.2023 10:07:44.3935,0.881,-0.334
37,31.10.2023 10:07:44.394,0.897,-0.26
38,31.10.2023 10:07:44.3945,0.904,-0.226
39,31.10.2023 10:07:44.395,0.92,-0.166
40,31.10.2023 10:07:44.3955,0.926,-0.135
41,31.10.2023 10:07:44.396,0.94,-0.091
42,31.10.2023 10:07:44.3965,0.953,-0.116
43,31.10.2023 10:07:44.397,0.966,-0.162
44,31.10.2023 10:07:44.3975,0.978,-0.122
45,31.10.2023 10:07:44.398,7.00E-03,-0.636
46,31.10.2023 10:07:44.3985,8.00E-03,-0.642
47,31.10.2023 10:07:44.399,7.00E-03,-0.636
48,31.10.2023 10:07:44.3995,7.00E-03,-0.635
49,31.10.2023 10:07:44.4,6.00E-03,-0.636
50,31.10.2023 10:07:44.4005,7.00E-03,-0.635
51,31.10.2023 10:07:44.401,3.00E-03,-0.637
52,31.10.2023 10:07:44.4015,8.00E-03,-0.636
53,31.10.2023 10:07:44.402,6.00E-03,-0.639
54,31.10.2023 10:07:44.4025,0.012,-0.636
55,31.10.2023 10:07:44.403,6.00E-03,-0.637
56,31.10.2023 10:07:44.4035,7.00E-03,-0.637
57,31.10.2023 10:07:44.404,5.00E-03,-0.639
58,31.10.2023 10:07:44.4045,7.00E-03,-0.637
59,31.10.2023 10:07:44.405,7.00E-03,-0.639
60,31.10.2023 10:07:44.4055,7.00E-03,-0.634
61,31.10.2023 10:07:44.406,7.00E-03,-0.639
62,31.10.2023 10:07:44.4065,7.00E-03,-0.636
63,31.10.2023 10:07:44.407,6.00E-03,-0.64
64,31.10.2023 10:07:44.4075,6.00E-03,-0.637
65,31.10.2023 10:07:44.408,0.011,-0.155
66,31.10.2023 10:07:44.4085,0.021,-0.162
67,31.10.2023 10:07:44.409,0.041,-0.169
68,31.10.2023 10:07:44.4095,0.047,0.152
69,31.10.2023 10:07:44.41,0.059,0.229
70,31.10.2023 10:07:44.4105,0.069,0.189
71,31.10.2023 10:07:44.411,0.087,0.151
72,31.10.2023 10:07:44.4115,0.094,0.19
73,31.10.2023 10:07:44.412,0.11,0.134
74,31.10.2023 10:07:44.4125,0.115,0.099
75,31.10.2023 10:07:44.413,0.133,0.092
76,31.10.2023 10:07:44.4135,0.145,0.025
77,31.10.2023 10:07:44.414,0.155,0.051
78,31.10.2023 10:07:44.4145,0.169,0.015
79,31.10.2023 10:07:44.415,0.181,0.077
80,31.10.2023 10:07:44.4155,0.193,0.109
81,31.10.2023 10:07:44.416,0.205,0.061
82,31.10.2023 10:07:44.4165,0.219,0.025
83,31.10.2023 10:07:44.417,0.229,-7.00E-03
84,31.10.2023 10:07:44.4175,0.24,-0.028
85,31.10.2023 10:07:44.418,0.254,0.016
86,31.10.2023 10:07:44.4185,0.267,0.018
87,31.10.2023 10:07:44.419,0.277,0.086
88,31.10.2023 10:07:44.4195,0.298,0.131
89,31.10.2023 10:07:44.42,0.3,0.084
90,31.10.2023 10:07:44.4205,0.313,0.185
91,31.10.2023 10:07:44.421,0.323,0.055
92,31.10.2023 10:07:44.4215,0.336,0.065
93,31.10.2023 10:07:44.422,0.352,-0.031
94,31.10.2023 10:07:44.4225,0.362,-0.014
95,31.10.2023 10:07:44.423,0.373,1.00E-03
96,31.10.2023 10:07:44.4235,0.387,-0.013
97,31.10.2023 10:07:44.424,0.398,-0.048
98,31.10.2023 10:07:44.4245,0.41,0.016
99,31.10.2023 10:07:44.425,0.424,-0.023
100,31.10.2023 10:07:44.4255,0.434,0.018
101,31.10.2023 10:07:44.426,0.448,-0.041
102,31.10.2023 10:07:44.4265,0.46,-0.05
103,31.10.2023 10:07:44.427,0.471,-0.064
104,31.10.2023 10:07:44.4275,0.483,-0.096
105,31.10.2023 10:07:44.428,0.501,-0.026
106,31.10.2023 10:07:44.4285,0.505,-0.096
107,31.10.2023 10:07:44.429,0.521,-0.131
108,31.10.2023 10:07:44.4295,0.53,0.089
109,31.10.2023 10:07:44.43,0.545,0.129
110,31.10.2023 10:07:44.4305,0.556,0.093
111,31.10.2023 10:07:44.431,0.567,0.099
112,31.10.2023 10:07:44.4315,0.581,0.063
113,31.10.2023 10:07:44.432,0.592,0.077
114,31.10.2023 10:07:44.4325,0.603,0.04
115,31.10.2023 10:07:44.433,0.618,0.035
116,31.10.2023 10:07:44.4335,0.63,-0.017
117,31.10.2023 10:07:44.434,0.638,-0.026
118,31.10.2023 10:07:44.4345,0.653,6.00E-03
119,31.10.2023 10:07:44.435,0.664,0.028
120,31.10.2023 10:07:44.4355,0.678,0.079
121,31.10.2023 10:07:44.436,0.689,-0.021
122,31.10.2023 10:07:44.4365,0.706,-0.036
123,31.10.2023 10:07:44.437,0.713,-0.038
124,31.10.2023 10:07:44.4375,0.728,-0.031
125,31.10.2023 10:07:44.438,0.735,-0.089
126,31.10.2023 10:07:44.4385,0.748,-0.075
127,31.10.2023 10:07:44.439,0.76,0.018
128,31.10.2023 10:07:44.4395,0.773,0.178
