N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 09:51:19.866,0.412,-3.00E-03
2,31.10.2023 09:51:19.8665,0.428,-5.00E-03
3,31.10.2023 09:51:19.867,0.439,0
4,31.10.2023 09:51:19.8675,0.454,0.037
5,31.10.2023 09:51:19.868,0.464,0.173
6,31.10.2023 09:51:19.8685,0.476,0.693
7,31.10.2023 09:51:19.869,0.486,2.155
8,31.10.2023 09:51:19.8695,0.499,0.624
9,31.10.2023 09:51:19.87,0.513,-0.266
10,31.10.2023 09:51:19.8705,0.523,-0.437
11,31.10.2023 09:51:19.871,0.534,-0.42
12,31.10.2023 09:51:19.8715,0.547,-0.402
13,31.10.2023 09:51:19.872,0.561,-0.386
14,31.10.2023 09:51:19.8725,0.574,-0.362
15,31.10.2023 09:51:19.873,0.584,-0.334
16,31.10.2023 09:51:19.8735,0.596,-0.328
17,31.10.2023 09:51:19.874,0.612,-0.332
18,31.10.2023 09:51:19.8745,0.621,-0.26
19,31.10.2023 09:51:19.875,0.635,-0.247
20,31.10.2023 09:51:19.8755,0.645,-0.238
21,31.10.2023 09:51:19.876,0.658,-0.231
22,31.10.2023 09:51:19.8765,0.669,-0.191
23,31.10.2023 09:51:19.877,0.683,-0.121
24,31.10.2023 09:51:19.8775,0.693,-0.091
25,31.10.2023 09:51:19.878,0.707,-0.085
26,31.10.2023 09:51:19.8785,0.718,-0.1
27,31.10.2023 09:51:19.879,0.732,0.079
28,31.10.2023 09:51:19.8795,0.743,0.061
29,31.10.2023 09:51:19.88,0.755,0.067
30,31.10.2023 09:51:19.8805,0.768,0.04
31,31.10.2023 09:51:19.881,0.779,0.04
32,31.10.2023 09:51:19.8815,0.795,0.061
33,31.10.2023 09:51:19.882,0.803,0.012
34,31.10.2023 09:51:19.8825,0.818,-0.025
35,31.10.2023 09:51:19.883,0.828,0.021
36,31.10.2023 09:51:19.8835,0.84,-0.013
37,31.10.2023 09:51:19.884,0.852,-9.00E-03
38,31.10.2023 09:51:19.8845,0.865,0.028
39,31.10.2023 09:51:19.885,0.876,0.038
40,31.10.2023 09:51:19.8855,0.89,-8.00E-03
41,31.10.2023 09:51:19.886,0.902,0.026
42,31.10.2023 09:51:19.8865,0.915,0.013
43,31.10.2023 09:51:19.887,0.926,0.025
44,31.10.2023 09:51:19.8875,0.935,0.02
45,31.10.2023 09:51:19.888,0.953,0.032
46,31.10.2023 09:51:19.8885,0.963,0.048
47,31.10.2023 09:51:19.889,0.977,0.035
48,31.10.2023 09:51:19.8895,0.011,-0.64
49,31.10.2023 09:51:19.89,6.00E-03,-0.64
50,31.10.2023 09:51:19.8905,6.00E-03,-0.642
51,31.10.2023 09:51:19.891,6.00E-03,-0.642
52,31.10.2023 09:51:19.8915,6.00E-03,-0.644
53,31.10.2023 09:51:19.892,7.00E-03,-0.646
54,31.10.2023 09:51:19.8925,5.00E-03,-0.637
55,31.10.2023 09:51:19.893,6.00E-03,-0.644
56,31.10.2023 09:51:19.8935,7.00E-03,-0.642
57,31.10.2023 09:51:19.894,7.00E-03,-0.645
58,31.10.2023 09:51:19.8945,6.00E-03,-0.644
59,31.10.2023 09:51:19.895,3.00E-03,-0.645
60,31.10.2023 09:51:19.8955,0.011,-0.644
61,31.10.2023 09:51:19.896,6.00E-03,-0.645
62,31.10.2023 09:51:19.8965,0.01,-0.644
63,31.10.2023 09:51:19.897,6.00E-03,-0.644
64,31.10.2023 09:51:19.8975,8.00E-03,-0.644
65,31.10.2023 09:51:19.898,6.00E-03,-0.645
66,31.10.2023 09:51:19.8985,8.00E-03,-0.645
67,31.10.2023 09:51:19.899,6.00E-03,-0.642
68,31.10.2023 09:51:19.8995,7.00E-03,-0.645
69,31.10.2023 09:51:19.9,0.013,0.132
70,31.10.2023 09:51:19.9005,0.026,0.179
71,31.10.2023 09:51:19.901,0.037,0.193
72,31.10.2023 09:51:19.9015,0.051,0.139
73,31.10.2023 09:51:19.902,0.062,0.091
74,31.10.2023 09:51:19.9025,0.071,0.101
75,31.10.2023 09:51:19.903,0.092,0.053
76,31.10.2023 09:51:19.9035,0.099,0.032
77,31.10.2023 09:51:19.904,0.113,0.018
78,31.10.2023 09:51:19.9045,0.124,0.01
79,31.10.2023 09:51:19.905,0.135,-0.035
80,31.10.2023 09:51:19.9055,0.149,-0.058
81,31.10.2023 09:51:19.906,0.16,-0.026
82,31.10.2023 09:51:19.9065,0.174,-0.06
83,31.10.2023 09:51:19.907,0.186,-0.05
84,31.10.2023 09:51:19.9075,0.198,-0.035
85,31.10.2023 09:51:19.908,0.21,-0.03
86,31.10.2023 09:51:19.9085,0.221,0.096
87,31.10.2023 09:51:19.909,0.232,0.045
88,31.10.2023 09:51:19.9095,0.245,0.065
89,31.10.2023 09:51:19.91,0.255,0.081
90,31.10.2023 09:51:19.9105,0.275,0.072
91,31.10.2023 09:51:19.911,0.281,0.075
92,31.10.2023 09:51:19.9115,0.295,-5.00E-03
93,31.10.2023 09:51:19.912,0.306,0.02
94,31.10.2023 09:51:19.9125,0.318,-3.00E-03
95,31.10.2023 09:51:19.913,0.33,0.011
96,31.10.2023 09:51:19.9135,0.344,-0.056
97,31.10.2023 09:51:19.914,0.357,-0.012
98,31.10.2023 09:51:19.9145,0.372,-0.035
99,31.10.2023 09:51:19.915,0.379,-0.026
100,31.10.2023 09:51:19.9155,0.393,-0.01
101,31.10.2023 09:51:19.916,0.404,-4.00E-03
102,31.10.2023 09:51:19.9165,0.417,-0.018
103,31.10.2023 09:51:19.917,0.428,0.028
104,31.10.2023 09:51:19.9175,0.439,0.011
105,31.10.2023 09:51:19.918,0.459,3.00E-03
106,31.10.2023 09:51:19.9185,0.464,0.047
107,31.10.2023 09:51:19.919,0.479,0.894
108,31.10.2023 09:51:19.9195,0.488,2.104
109,31.10.2023 09:51:19.92,0.501,0.374
110,31.10.2023 09:51:19.9205,0.513,-0.332
111,31.10.2023 09:51:19.921,0.526,-0.432
112,31.10.2023 09:51:19.9215,0.539,-0.398
113,31.10.2023 09:51:19.922,0.551,-0.371
114,31.10.2023 09:51:19.9225,0.561,-0.371
115,31.10.2023 09:51:19.923,0.575,-0.327
116,31.10.2023 09:51:19.9235,0.586,-0.319
117,31.10.2023 09:51:19.924,0.6,-0.295
118,31.10.2023 09:51:19.9245,0.611,-0.267
119,31.10.2023 09:51:19.925,0.621,-0.21
120,31.10.2023 09:51:19.9255,0.64,-0.172
121,31.10.2023 09:51:19.926,0.648,-0.171
122,31.10.2023 09:51:19.9265,0.661,-0.111
123,31.10.2023 09:51:19.927,0.672,-0.135
124,31.10.2023 09:51:19.9275,0.684,-0.076
125,31.10.2023 09:51:19.928,0.697,-0.034
126,31.10.2023 09:51:19.9285,0.711,-0.045
127,31.10.2023 09:51:19.929,0.72,-3.00E-03
128,31.10.2023 09:51:19.9295,0.732,7.00E-03
