N,Absolute date/time,Input_A [V],Input_B [V]
45,31.10.2023 10:04:41.038,0.444,-0.159
46,31.10.2023 10:04:41.0385,0.455,0.122
47,31.10.2023 10:04:41.039,0.466,0.136
48,31.10.2023 10:04:41.0395,0.478,0.091
49,31.10.2023 10:04:41.04,0.491,0.093
50,31.10.2023 10:04:41.0405,0.503,0.096
51,31.10.2023 10:04:41.041,0.518,0.067
52,31.10.2023 10:04:41.0415,0.527,0.025
53,31.10.2023 10:04:41.042,0.544,-0.023
54,31.10.2023 10:04:41.0425,0.551,-0.029
55,31.10.2023 10:04:41.043,0.564,6.00E-03
56,31.10.2023 10:04:41.0435,0.571,0.087
57,31.10.2023 10:04:41.044,0.587,0.047
58,31.10.2023 10:04:41.0445,0.6,0.037
59,31.10.2023 10:04:41.045,0.611,0.099
60,31.10.2023 10:04:41.0455,0.626,0.134
61,31.10.2023 10:04:41.046,0.636,0.153
62,31.10.2023 10:04:41.0465,0.648,0.043
63,31.10.2023 10:04:41.047,0.659,-0.015
64,31.10.2023 10:04:41.0475,0.672,-0.015
65,31.10.2023 10:04:41.048,0.686,0.066
66,31.10.2023 10:04:41.0485,0.697,0.081
67,31.10.2023 10:04:41.049,0.708,0.225
68,31.10.2023 10:04:41.0495,0.72,0.476
69,31.10.2023 10:04:41.05,0.732,1.092
70,31.10.2023 10:04:41.0505,0.745,0.276
71,31.10.2023 10:04:41.051,0.757,-0.126
72,31.10.2023 10:04:41.0515,0.77,-0.296
73,31.10.2023 10:04:41.052,0.781,-0.319
74,31.10.2023 10:04:41.0525,0.796,-0.22
75,31.10.2023 10:04:41.053,0.805,-0.156
76,31.10.2023 10:04:41.0535,0.821,-0.137
77,31.10.2023 10:04:41.054,0.828,-0.206
78,31.10.2023 10:04:41.0545,0.846,-0.195
79,31.10.2023 10:04:41.055,0.852,-0.157
80,31.10.2023 10:04:41.0555,0.866,-0.187
81,31.10.2023 10:04:41.056,0.875,-0.155
82,31.10.2023 10:04:41.0565,0.89,-0.167
83,31.10.2023 10:04:41.057,0.902,-0.089
84,31.10.2023 10:04:41.0575,0.915,-0.075
85,31.10.2023 10:04:41.058,0.927,-0.194
86,31.10.2023 10:04:41.0585,0.937,-7.00E-03
87,31.10.2023 10:04:41.059,0.952,0.016
88,31.10.2023 10:04:41.0595,0.962,1.00E-03
89,31.10.2023 10:04:41.06,0.976,0.016
90,31.10.2023 10:04:41.0605,7.00E-03,-0.639
91,31.10.2023 10:04:41.061,6.00E-03,-0.64
92,31.10.2023 10:04:41.0615,6.00E-03,-0.64
93,31.10.2023 10:04:41.062,7.00E-03,-0.64
94,31.10.2023 10:04:41.0625,8.00E-03,-0.64
95,31.10.2023 10:04:41.063,6.00E-03,-0.637
96,31.10.2023 10:04:41.0635,6.00E-03,-0.64
97,31.10.2023 10:04:41.064,8.00E-03,-0.639
98,31.10.2023 10:04:41.0645,7.00E-03,-0.637
99,31.10.2023 10:04:41.065,8.00E-03,-0.637
100,31.10.2023 10:04:41.0655,6.00E-03,-0.639
101,31.10.2023 10:04:41.066,0.01,-0.637
102,31.10.2023 10:04:41.0665,7.00E-03,-0.639
103,31.10.2023 10:04:41.067,0.011,-0.637
104,31.10.2023 10:04:41.0675,5.00E-03,-0.64
105,31.10.2023 10:04:41.068,0.01,-0.637
106,31.10.2023 10:04:41.0685,2.00E-03,-0.637
107,31.10.2023 10:04:41.069,5.00E-03,-0.636
108,31.10.2023 10:04:41.0695,5.00E-03,-0.637
109,31.10.2023 10:04:41.07,7.00E-03,-0.635
110,31.10.2023 10:04:41.0705,6.00E-03,0.082
111,31.10.2023 10:04:41.071,0.019,-0.025
112,31.10.2023 10:04:41.0715,0.033,-0.046
113,31.10.2023 10:04:41.072,0.042,-0.059
114,31.10.2023 10:04:41.0725,0.056,-0.053
115,31.10.2023 10:04:41.073,0.069,0.045
116,31.10.2023 10:04:41.0735,0.082,0.038
117,31.10.2023 10:04:41.074,0.094,-0.024
118,31.10.2023 10:04:41.0745,0.105,-0.103
119,31.10.2023 10:04:41.075,0.119,-0.137
120,31.10.2023 10:04:41.0755,0.129,-0.106
121,31.10.2023 10:04:41.076,0.14,-0.05
122,31.10.2023 10:04:41.0765,0.154,-0.05
123,31.10.2023 10:04:41.077,0.164,-0.063
124,31.10.2023 10:04:41.0775,0.18,0
125,31.10.2023 10:04:41.078,0.19,-0.19
126,31.10.2023 10:04:41.0785,0.205,0.103
127,31.10.2023 10:04:41.079,0.214,0.011
128,31.10.2023 10:04:41.0795,0.232,0.041
