N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 10:04:41.016,0.01,-0.64
2,31.10.2023 10:04:41.0165,7.00E-03,-0.639
3,31.10.2023 10:04:41.017,0.011,-0.64
4,31.10.2023 10:04:41.0175,6.00E-03,-0.64
5,31.10.2023 10:04:41.018,0.013,-0.641
6,31.10.2023 10:04:41.0185,6.00E-03,-0.639
7,31.10.2023 10:04:41.019,7.00E-03,-0.637
8,31.10.2023 10:04:41.0195,5.00E-03,-0.636
9,31.10.2023 10:04:41.02,5.00E-03,0.042
10,31.10.2023 10:04:41.0205,0.017,-9.00E-03
11,31.10.2023 10:04:41.021,0.031,0.043
12,31.10.2023 10:04:41.0215,0.042,0.01
13,31.10.2023 10:04:41.022,0.053,-3.00E-03
14,31.10.2023 10:04:41.0225,0.066,1.00E-03
15,31.10.2023 10:04:41.023,0.079,0.026
16,31.10.2023 10:04:41.0235,0.09,-0.035
17,31.10.2023 10:04:41.024,0.103,0.057
18,31.10.2023 10:04:41.0245,0.115,0.05
19,31.10.2023 10:04:41.025,0.127,0.077
20,31.10.2023 10:04:41.0255,0.14,0.091
21,31.10.2023 10:04:41.026,0.151,0.137
22,31.10.2023 10:04:41.0265,0.164,0.065
23,31.10.2023 10:04:41.027,0.175,-0.048
24,31.10.2023 10:04:41.0275,0.188,-4.00E-03
25,31.10.2023 10:04:41.028,0.199,0.065
26,31.10.2023 10:04:41.0285,0.215,0.131
27,31.10.2023 10:04:41.029,0.224,0.099
28,31.10.2023 10:04:41.0295,0.242,0.106
29,31.10.2023 10:04:41.03,0.246,0.134
30,31.10.2023 10:04:41.0305,0.262,0.086
31,31.10.2023 10:04:41.031,0.271,0.06
32,31.10.2023 10:04:41.0315,0.283,-4.00E-03
33,31.10.2023 10:04:41.032,0.297,-0.013
34,31.10.2023 10:04:41.0325,0.31,0.047
35,31.10.2023 10:04:41.033,0.321,-9.00E-03
36,31.10.2023 10:04:41.0335,0.334,-0.029
37,31.10.2023 10:04:41.034,0.347,-0.065
38,31.10.2023 10:04:41.0345,0.358,-0.071
39,31.10.2023 10:04:41.035,0.369,0.027
40,31.10.2023 10:04:41.0355,0.382,0.032
41,31.10.2023 10:04:41.036,0.394,-0.014
42,31.10.2023 10:04:41.0365,0.407,-0.085
43,31.10.2023 10:04:41.037,0.418,-0.08
44,31.10.2023 10:04:41.0375,0.429,-0.044
