N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 10:02:15.046,0.3,0.089
2,31.10.2023 10:02:15.0465,0.311,0.097
3,31.10.2023 10:02:15.047,0.323,0.109
4,31.10.2023 10:02:15.0475,0.336,0.046
5,31.10.2023 10:02:15.048,0.349,-8.00E-03
6,31.10.2023 10:02:15.0485,0.361,-0.053
7,31.10.2023 10:02:15.049,0.373,-0.033
8,31.10.2023 10:02:15.0495,0.384,-7.00E-03
9,31.10.2023 10:02:15.05,0.398,0.022
10,31.10.2023 10:02:15.0505,0.408,0.091
11,31.10.2023 10:02:15.051,0.424,0.077
12,31.10.2023 10:02:15.0515,0.432,0.012
13,31.10.2023 10:02:15.052,0.449,0.038
14,31.10.2023 10:02:15.0525,0.455,0.01
15,31.10.2023 10:02:15.053,0.471,-3.00E-03
16,31.10.2023 10:02:15.0535,0.478,-0.065
17,31.10.2023 10:02:15.054,0.495,-0.091
18,31.10.2023 10:02:15.0545,0.506,-0.098
19,31.10.2023 10:02:15.055,0.519,-0.049
20,31.10.2023 10:02:15.0555,0.527,-0.038
21,31.10.2023 10:02:15.056,0.542,-0.065
22,31.10.2023 10:02:15.0565,0.554,0.035
23,31.10.2023 10:02:15.057,0.566,-9.00E-03
24,31.10.2023 10:02:15.0575,0.579,-7.00E-03
25,31.10.2023 10:02:15.058,0.588,3.00E-03
26,31.10.2023 10:02:15.0585,0.603,-0.075
27,31.10.2023 10:02:15.059,0.615,0.018
28,31.10.2023 10:02:15.0595,0.627,0.072
29,31.10.2023 10:02:15.06,0.64,0.182
30,31.10.2023 10:02:15.0605,0.652,0.046
31,31.10.2023 10:02:15.061,0.663,0.091
32,31.10.2023 10:02:15.0615,0.676,0.409
33,31.10.2023 10:02:15.062,0.687,0.593
34,31.10.2023 10:02:15.0625,0.698,-0.079
35,31.10.2023 10:02:15.063,0.712,-0.277
36,31.10.2023 10:02:15.0635,0.724,-0.283
37,31.10.2023 10:02:15.064,0.734,-0.236
38,31.10.2023 10:02:15.0645,0.749,-0.125
39,31.10.2023 10:02:15.065,0.76,-0.063
40,31.10.2023 10:02:15.0655,0.774,-0.135
41,31.10.2023 10:02:15.066,0.783,-0.108
42,31.10.2023 10:02:15.0665,0.796,-0.06
43,31.10.2023 10:02:15.067,0.81,-0.09
44,31.10.2023 10:02:15.0675,0.821,-0.113
45,31.10.2023 10:02:15.068,0.834,-0.1
46,31.10.2023 10:02:15.0685,0.846,-0.053
47,31.10.2023 10:02:15.069,0.856,-0.025
48,31.10.2023 10:02:15.0695,0.874,-0.043
49,31.10.2023 10:02:15.07,0.88,1.00E-03
50,31.10.2023 10:02:15.0705,0.896,0.062
51,31.10.2023 10:02:15.071,0.906,0.032
52,31.10.2023 10:02:15.0715,0.921,0.06
53,31.10.2023 10:02:15.072,0.928,0.025
54,31.10.2023 10:02:15.0725,0.945,0.015
55,31.10.2023 10:02:15.073,0.952,0.109
56,31.10.2023 10:02:15.0735,0.968,-0.021
57,31.10.2023 10:02:15.074,0.973,-0.044
58,31.10.2023 10:02:15.0745,7.00E-03,-0.641
59,31.10.2023 10:02:15.075,5.00E-03,-0.64
60,31.10.2023 10:02:15.0755,5.00E-03,-0.637
61,31.10.2023 10:02:15.076,7.00E-03,-0.64
62,31.10.2023 10:02:15.0765,7.00E-03,-0.641
63,31.10.2023 10:02:15.077,7.00E-03,-0.641
64,31.10.2023 10:02:15.0775,7.00E-03,-0.639
65,31.10.2023 10:02:15.078,7.00E-03,-0.64
66,31.10.2023 10:02:15.0785,7.00E-03,-0.635
67,31.10.2023 10:02:15.079,7.00E-03,-0.64
68,31.10.2023 10:02:15.0795,6.00E-03,-0.637
69,31.10.2023 10:02:15.08,7.00E-03,-0.641
70,31.10.2023 10:02:15.0805,7.00E-03,-0.637
71,31.10.2023 10:02:15.081,6.00E-03,-0.642
72,31.10.2023 10:02:15.0815,6.00E-03,-0.636
73,31.10.2023 10:02:15.082,6.00E-03,-0.644
74,31.10.2023 10:02:15.0825,7.00E-03,-0.639
75,31.10.2023 10:02:15.083,6.00E-03,-0.641
76,31.10.2023 10:02:15.0835,6.00E-03,-0.64
77,31.10.2023 10:02:15.084,7.00E-03,-0.641
78,31.10.2023 10:02:15.0845,8.00E-03,0.255
79,31.10.2023 10:02:15.085,0.022,0.323
80,31.10.2023 10:02:15.0855,0.033,0.237
81,31.10.2023 10:02:15.086,0.048,0.249
82,31.10.2023 10:02:15.0865,0.058,0.253
83,31.10.2023 10:02:15.087,0.072,0.199
84,31.10.2023 10:02:15.0875,0.083,0.207
85,31.10.2023 10:02:15.088,0.095,0.185
86,31.10.2023 10:02:15.0885,0.107,0.136
87,31.10.2023 10:02:15.089,0.12,0.098
88,31.10.2023 10:02:15.0895,0.133,0.073
89,31.10.2023 10:02:15.09,0.145,0.092
90,31.10.2023 10:02:15.0905,0.155,0.227
91,31.10.2023 10:02:15.091,0.169,0.263
92,31.10.2023 10:02:15.0915,0.179,0.141
93,31.10.2023 10:02:15.092,0.193,0.114
94,31.10.2023 10:02:15.0925,0.203,0.076
95,31.10.2023 10:02:15.093,0.22,0.031
96,31.10.2023 10:02:15.0935,0.227,0.104
97,31.10.2023 10:02:15.094,0.245,-5.00E-03
98,31.10.2023 10:02:15.0945,0.251,-0.046
99,31.10.2023 10:02:15.095,0.265,6.00E-03
100,31.10.2023 10:02:15.0955,0.275,-7.00E-03
101,31.10.2023 10:02:15.096,0.287,-0.091
102,31.10.2023 10:02:15.0965,0.3,-0.015
103,31.10.2023 10:02:15.097,0.315,-0.018
104,31.10.2023 10:02:15.0975,0.326,0.033
105,31.10.2023 10:02:15.098,0.338,-0.03
106,31.10.2023 10:02:15.0985,0.351,-0.025
107,31.10.2023 10:02:15.099,0.361,-0.019
108,31.10.2023 10:02:15.0995,0.376,0.126
109,31.10.2023 10:02:15.1,0.387,0.204
110,31.10.2023 10:02:15.1005,0.4,0.041
111,31.10.2023 10:02:15.101,0.412,-0.063
112,31.10.2023 10:02:15.1015,0.424,-0.039
113,31.10.2023 10:02:15.102,0.434,-0.134
114,31.10.2023 10:02:15.1025,0.447,-0.119
115,31.10.2023 10:02:15.103,0.459,-0.095
116,31.10.2023 10:02:15.1035,0.471,-0.081
117,31.10.2023 10:02:15.104,0.483,-0.12
118,31.10.2023 10:02:15.1045,0.496,0.048
119,31.10.2023 10:02:15.105,0.508,0.05
120,31.10.2023 10:02:15.1055,0.52,-9.00E-03
121,31.10.2023 10:02:15.106,0.531,0.017
122,31.10.2023 10:02:15.1065,0.545,-0.026
123,31.10.2023 10:02:15.107,0.556,-0.034
124,31.10.2023 10:02:15.1075,0.57,0.036
125,31.10.2023 10:02:15.108,0.581,0.06
126,31.10.2023 10:02:15.1085,0.595,-0.018
127,31.10.2023 10:02:15.109,0.603,0.023
128,31.10.2023 10:02:15.1095,0.618,2.00E-03
