N,Absolute date/time,Input_A [V],Input_B [V]
72,31.10.2023 10:00:45.6315,0.352,0
73,31.10.2023 10:00:45.632,0.363,-0.036
74,31.10.2023 10:00:45.6325,0.376,-3.00E-03
75,31.10.2023 10:00:45.633,0.389,0.052
76,31.10.2023 10:00:45.6335,0.4,0.06
77,31.10.2023 10:00:45.634,0.413,0.058
78,31.10.2023 10:00:45.6345,0.424,0.021
79,31.10.2023 10:00:45.635,0.437,-0.019
80,31.10.2023 10:00:45.6355,0.449,0.011
81,31.10.2023 10:00:45.636,0.461,-3.00E-03
82,31.10.2023 10:00:45.6365,0.474,2.00E-03
83,31.10.2023 10:00:45.637,0.485,0.061
84,31.10.2023 10:00:45.6375,0.498,0.163
85,31.10.2023 10:00:45.638,0.509,0.114
86,31.10.2023 10:00:45.6385,0.521,0.096
87,31.10.2023 10:00:45.639,0.534,0.056
88,31.10.2023 10:00:45.6395,0.546,0.071
89,31.10.2023 10:00:45.64,0.556,0.052
90,31.10.2023 10:00:45.6405,0.57,0.038
91,31.10.2023 10:00:45.641,0.582,-0.069
92,31.10.2023 10:00:45.6415,0.596,-0.055
93,31.10.2023 10:00:45.642,0.606,-0.044
94,31.10.2023 10:00:45.6425,0.621,0.234
95,31.10.2023 10:00:45.643,0.63,0.909
96,31.10.2023 10:00:45.6435,0.645,0.477
97,31.10.2023 10:00:45.644,0.653,-0.106
98,31.10.2023 10:00:45.6445,0.667,-0.283
99,31.10.2023 10:00:45.645,0.679,-0.31
100,31.10.2023 10:00:45.6455,0.693,-0.301
101,31.10.2023 10:00:45.646,0.703,-0.292
102,31.10.2023 10:00:45.6465,0.717,-0.233
103,31.10.2023 10:00:45.647,0.728,-0.156
104,31.10.2023 10:00:45.6475,0.743,-0.216
105,31.10.2023 10:00:45.648,0.753,-0.018
106,31.10.2023 10:00:45.6485,0.765,-0.049
107,31.10.2023 10:00:45.649,0.778,-0.083
108,31.10.2023 10:00:45.6495,0.789,-0.104
109,31.10.2023 10:00:45.65,0.801,-0.084
110,31.10.2023 10:00:45.6505,0.814,-0.139
111,31.10.2023 10:00:45.651,0.825,-0.117
112,31.10.2023 10:00:45.6515,0.84,-0.182
113,31.10.2023 10:00:45.652,0.851,-0.074
114,31.10.2023 10:00:45.6525,0.864,0.026
115,31.10.2023 10:00:45.653,0.875,0.051
116,31.10.2023 10:00:45.6535,0.889,-2.00E-03
117,31.10.2023 10:00:45.654,0.899,0.032
118,31.10.2023 10:00:45.6545,0.913,0.063
119,31.10.2023 10:00:45.655,0.922,-0.05
120,31.10.2023 10:00:45.6555,0.937,-0.046
121,31.10.2023 10:00:45.656,0.947,-9.00E-03
122,31.10.2023 10:00:45.6565,0.965,-0.043
123,31.10.2023 10:00:45.657,0.969,0.082
124,31.10.2023 10:00:45.6575,0.017,-0.636
125,31.10.2023 10:00:45.658,5.00E-03,-0.639
126,31.10.2023 10:00:45.6585,0.012,-0.639
127,31.10.2023 10:00:45.659,3.00E-03,-0.639
128,31.10.2023 10:00:45.6595,8.00E-03,-0.64
