N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 10:00:45.596,0.715,-0.184
2,31.10.2023 10:00:45.5965,0.72,-0.113
3,31.10.2023 10:00:45.597,0.738,-0.083
4,31.10.2023 10:00:45.5975,0.75,0.011
5,31.10.2023 10:00:45.598,0.763,0.016
6,31.10.2023 10:00:45.5985,0.773,0.047
7,31.10.2023 10:00:45.599,0.785,8.00E-03
8,31.10.2023 10:00:45.5995,0.798,-0.013
9,31.10.2023 10:00:45.6,0.81,-0.014
10,31.10.2023 10:00:45.6005,0.821,-0.033
11,31.10.2023 10:00:45.601,0.833,-0.07
12,31.10.2023 10:00:45.6015,0.847,-0.073
13,31.10.2023 10:00:45.602,0.857,-0.105
14,31.10.2023 10:00:45.6025,0.872,-0.076
15,31.10.2023 10:00:45.603,0.884,-0.039
16,31.10.2023 10:00:45.6035,0.896,-0.014
17,31.10.2023 10:00:45.604,0.908,-0.039
18,31.10.2023 10:00:45.6045,0.92,-0.053
19,31.10.2023 10:00:45.605,0.933,-0.125
20,31.10.2023 10:00:45.6055,0.942,-0.089
21,31.10.2023 10:00:45.606,0.956,-0.137
22,31.10.2023 10:00:45.6065,0.972,-0.041
23,31.10.2023 10:00:45.607,0.981,-9.00E-03
24,31.10.2023 10:00:45.6075,7.00E-03,-0.644
25,31.10.2023 10:00:45.608,7.00E-03,-0.639
26,31.10.2023 10:00:45.6085,6.00E-03,-0.64
27,31.10.2023 10:00:45.609,8.00E-03,-0.639
28,31.10.2023 10:00:45.6095,6.00E-03,-0.639
29,31.10.2023 10:00:45.61,7.00E-03,-0.64
30,31.10.2023 10:00:45.6105,5.00E-03,-0.64
31,31.10.2023 10:00:45.611,8.00E-03,-0.637
32,31.10.2023 10:00:45.6115,6.00E-03,-0.64
33,31.10.2023 10:00:45.612,7.00E-03,-0.64
34,31.10.2023 10:00:45.6125,5.00E-03,-0.641
35,31.10.2023 10:00:45.613,7.00E-03,-0.64
36,31.10.2023 10:00:45.6135,7.00E-03,-0.64
37,31.10.2023 10:00:45.614,8.00E-03,-0.639
38,31.10.2023 10:00:45.6145,7.00E-03,-0.64
39,31.10.2023 10:00:45.615,8.00E-03,-0.641
40,31.10.2023 10:00:45.6155,6.00E-03,-0.64
41,31.10.2023 10:00:45.616,8.00E-03,-0.64
42,31.10.2023 10:00:45.6165,7.00E-03,-0.64
43,31.10.2023 10:00:45.617,7.00E-03,-0.639
44,31.10.2023 10:00:45.6175,8.00E-03,0.281
45,31.10.2023 10:00:45.618,0.023,0.329
46,31.10.2023 10:00:45.6185,0.036,0.225
47,31.10.2023 10:00:45.619,0.049,0.175
48,31.10.2023 10:00:45.6195,0.059,0.183
49,31.10.2023 10:00:45.62,0.076,0.169
50,31.10.2023 10:00:45.6205,0.084,0.114
51,31.10.2023 10:00:45.621,0.1,0.04
52,31.10.2023 10:00:45.6215,0.108,-0.026
53,31.10.2023 10:00:45.622,0.128,0.035
54,31.10.2023 10:00:45.6225,0.133,0.022
55,31.10.2023 10:00:45.623,0.15,0.083
56,31.10.2023 10:00:45.6235,0.155,0.035
57,31.10.2023 10:00:45.624,0.173,0.043
58,31.10.2023 10:00:45.6245,0.179,-0.028
59,31.10.2023 10:00:45.625,0.195,0.02
60,31.10.2023 10:00:45.6255,0.204,-0.051
61,31.10.2023 10:00:45.626,0.217,-0.074
62,31.10.2023 10:00:45.6265,0.227,-0.058
63,31.10.2023 10:00:45.627,0.244,0.025
64,31.10.2023 10:00:45.6275,0.254,-0.063
65,31.10.2023 10:00:45.628,0.266,0.127
66,31.10.2023 10:00:45.6285,0.278,0.088
67,31.10.2023 10:00:45.629,0.29,0.081
68,31.10.2023 10:00:45.6295,0.301,0.058
69,31.10.2023 10:00:45.63,0.315,0.023
70,31.10.2023 10:00:45.6305,0.327,0.011
71,31.10.2023 10:00:45.631,0.341,0.036
