N,Absolute date/time,Input_A [V],Input_B [V]
38,31.10.2023 10:06:04.0445,0.24,0.159
39,31.10.2023 10:06:04.045,0.252,0.099
40,31.10.2023 10:06:04.0455,0.264,-0.029
41,31.10.2023 10:06:04.046,0.277,0.189
42,31.10.2023 10:06:04.0465,0.29,0.192
43,31.10.2023 10:06:04.047,0.301,0.089
44,31.10.2023 10:06:04.0475,0.312,0.099
45,31.10.2023 10:06:04.048,0.326,0.053
46,31.10.2023 10:06:04.0485,0.337,0.037
47,31.10.2023 10:06:04.049,0.349,0.045
48,31.10.2023 10:06:04.0495,0.359,0.018
49,31.10.2023 10:06:04.05,0.374,0.083
50,31.10.2023 10:06:04.0505,0.386,0.167
51,31.10.2023 10:06:04.051,0.402,0.188
52,31.10.2023 10:06:04.0515,0.408,6.00E-03
53,31.10.2023 10:06:04.052,0.427,-0.043
54,31.10.2023 10:06:04.0525,0.43,-0.056
55,31.10.2023 10:06:04.053,0.45,-0.05
56,31.10.2023 10:06:04.0535,0.458,0.01
57,31.10.2023 10:06:04.054,0.469,0.072
58,31.10.2023 10:06:04.0545,0.483,0.043
59,31.10.2023 10:06:04.055,0.496,-0.012
60,31.10.2023 10:06:04.0555,0.508,-0.07
61,31.10.2023 10:06:04.056,0.519,0.063
62,31.10.2023 10:06:04.0565,0.531,0.065
63,31.10.2023 10:06:04.057,0.541,2.00E-03
64,31.10.2023 10:06:04.0575,0.555,-0.019
65,31.10.2023 10:06:04.058,0.567,-0.045
66,31.10.2023 10:06:04.0585,0.58,-7.00E-03
67,31.10.2023 10:06:04.059,0.591,7.00E-03
68,31.10.2023 10:06:04.0595,0.605,0.037
69,31.10.2023 10:06:04.06,0.615,0.113
70,31.10.2023 10:06:04.0605,0.63,0.137
71,31.10.2023 10:06:04.061,0.64,-0.064
72,31.10.2023 10:06:04.0615,0.656,-0.149
73,31.10.2023 10:06:04.062,0.663,-0.332
74,31.10.2023 10:06:04.0625,0.676,-0.023
75,31.10.2023 10:06:04.063,0.687,-0.046
76,31.10.2023 10:06:04.0635,0.701,0.022
77,31.10.2023 10:06:04.064,0.713,0.07
78,31.10.2023 10:06:04.0645,0.724,0.045
79,31.10.2023 10:06:04.065,0.737,0.096
80,31.10.2023 10:06:04.0655,0.75,0.045
81,31.10.2023 10:06:04.066,0.76,0.325
82,31.10.2023 10:06:04.0665,0.773,0.891
83,31.10.2023 10:06:04.067,0.785,1.143
84,31.10.2023 10:06:04.0675,0.796,0.02
85,31.10.2023 10:06:04.068,0.81,-0.276
86,31.10.2023 10:06:04.0685,0.823,-0.344
87,31.10.2023 10:06:04.069,0.835,-0.318
88,31.10.2023 10:06:04.0695,0.845,-0.26
89,31.10.2023 10:06:04.07,0.86,-0.177
90,31.10.2023 10:06:04.0705,0.87,-0.152
91,31.10.2023 10:06:04.071,0.887,-0.154
92,31.10.2023 10:06:04.0715,0.894,-0.191
93,31.10.2023 10:06:04.072,0.911,-0.313
94,31.10.2023 10:06:04.0725,0.915,-0.221
95,31.10.2023 10:06:04.073,0.93,-0.16
96,31.10.2023 10:06:04.0735,0.941,-0.025
97,31.10.2023 10:06:04.074,0.953,-0.051
98,31.10.2023 10:06:04.0745,0.966,-0.044
99,31.10.2023 10:06:04.075,0.977,-0.053
100,31.10.2023 10:06:04.0755,6.00E-03,-0.641
101,31.10.2023 10:06:04.076,7.00E-03,-0.637
102,31.10.2023 10:06:04.0765,7.00E-03,-0.641
103,31.10.2023 10:06:04.077,6.00E-03,-0.64
104,31.10.2023 10:06:04.0775,7.00E-03,-0.639
105,31.10.2023 10:06:04.078,7.00E-03,-0.639
106,31.10.2023 10:06:04.0785,8.00E-03,-0.637
107,31.10.2023 10:06:04.079,5.00E-03,-0.64
108,31.10.2023 10:06:04.0795,6.00E-03,-0.639
109,31.10.2023 10:06:04.08,6.00E-03,-0.639
110,31.10.2023 10:06:04.0805,7.00E-03,-0.639
111,31.10.2023 10:06:04.081,6.00E-03,-0.639
112,31.10.2023 10:06:04.0815,0.011,-0.639
113,31.10.2023 10:06:04.082,6.00E-03,-0.641
114,31.10.2023 10:06:04.0825,8.00E-03,-0.637
115,31.10.2023 10:06:04.083,3.00E-03,-0.637
116,31.10.2023 10:06:04.0835,5.00E-03,-0.637
117,31.10.2023 10:06:04.084,6.00E-03,-0.639
118,31.10.2023 10:06:04.0845,6.00E-03,-0.636
119,31.10.2023 10:06:04.085,8.00E-03,-0.637
120,31.10.2023 10:06:04.0855,0.01,0.016
121,31.10.2023 10:06:04.086,0.024,0.108
122,31.10.2023 10:06:04.0865,0.036,0.209
123,31.10.2023 10:06:04.087,0.046,0.163
124,31.10.2023 10:06:04.0875,0.059,0.072
125,31.10.2023 10:06:04.088,0.073,0.097
126,31.10.2023 10:06:04.0885,0.084,0.097
127,31.10.2023 10:06:04.089,0.097,0.083
128,31.10.2023 10:06:04.0895,0.109,0.101
