N,Absolute date/time,Input_A [V],Input_B [V]
1,31.10.2023 10:06:04.026,5.00E-03,-0.641
2,31.10.2023 10:06:04.0265,6.00E-03,-0.637
3,31.10.2023 10:06:04.027,7.00E-03,-0.641
4,31.10.2023 10:06:04.0275,7.00E-03,-0.639
5,31.10.2023 10:06:04.028,7.00E-03,-0.637
6,31.10.2023 10:06:04.0285,6.00E-03,-0.639
7,31.10.2023 10:06:04.029,7.00E-03,-0.639
8,31.10.2023 10:06:04.0295,6.00E-03,-0.639
9,31.10.2023 10:06:04.03,7.00E-03,-0.639
10,31.10.2023 10:06:04.0305,6.00E-03,-0.639
11,31.10.2023 10:06:04.031,0.011,-0.639
12,31.10.2023 10:06:04.0315,6.00E-03,-0.639
13,31.10.2023 10:06:04.032,0.012,-0.637
14,31.10.2023 10:06:04.0325,3.00E-03,-0.632
15,31.10.2023 10:06:04.033,6.00E-03,-0.637
16,31.10.2023 10:06:04.0335,5.00E-03,-0.636
17,31.10.2023 10:06:04.034,7.00E-03,-0.634
18,31.10.2023 10:06:04.0345,6.00E-03,-0.637
19,31.10.2023 10:06:04.035,0.01,-0.023
20,31.10.2023 10:06:04.0355,0.021,-0.04
21,31.10.2023 10:06:04.036,0.034,0.078
22,31.10.2023 10:06:04.0365,0.046,0.134
23,31.10.2023 10:06:04.037,0.056,0.091
24,31.10.2023 10:06:04.0375,0.068,0.084
25,31.10.2023 10:06:04.038,0.08,0.055
26,31.10.2023 10:06:04.0385,0.094,0.106
27,31.10.2023 10:06:04.039,0.105,0.137
28,31.10.2023 10:06:04.0395,0.118,0.183
29,31.10.2023 10:06:04.04,0.13,0.284
30,31.10.2023 10:06:04.0405,0.144,0.18
31,31.10.2023 10:06:04.041,0.155,0.07
32,31.10.2023 10:06:04.0415,0.171,0.023
33,31.10.2023 10:06:04.042,0.179,-0.161
34,31.10.2023 10:06:04.0425,0.193,0.159
35,31.10.2023 10:06:04.043,0.201,0.136
36,31.10.2023 10:06:04.0435,0.215,0.147
37,31.10.2023 10:06:04.044,0.229,0.113
