N,Absolute date/time,Input_A [V],Input_B [V]
119,31.10.2023 09:42:57.525,7.00E-03,-0.65
120,31.10.2023 09:42:57.5255,5.00E-03,-0.647
121,31.10.2023 09:42:57.526,6.00E-03,-0.646
122,31.10.2023 09:42:57.5265,6.00E-03,-0.641
123,31.10.2023 09:42:57.527,6.00E-03,-0.651
124,31.10.2023 09:42:57.5275,6.00E-03,-0.647
125,31.10.2023 09:42:57.528,5.00E-03,-0.651
126,31.10.2023 09:42:57.5285,0.012,-0.65
127,31.10.2023 09:42:57.529,6.00E-03,-0.65
128,31.10.2023 09:42:57.5295,8.00E-03,-0.649
